lat,lon,distance_km
56.446998,7.756620,726.353
56.455582,7.785261,728.355
56.464167,7.813901,730.357
56.472751,7.842542,732.359
56.481335,7.871183,734.360
56.489920,7.899823,736.361
56.498504,7.928464,738.361
56.507088,7.957105,740.361
56.515673,7.985745,742.361
56.524257,8.014386,744.360
56.532841,8.043027,746.359
56.541426,8.071667,748.358
56.550010,8.100308,750.356
56.558595,8.128949,752.354
56.567179,8.157589,754.352
56.575763,8.186230,756.349
56.584348,8.214871,758.346
56.592932,8.243511,760.343
56.601516,8.272152,762.339
56.610101,8.300793,764.335
56.618685,8.329433,766.331
56.627270,8.358074,768.326
56.635854,8.386715,770.321
56.644438,8.415356,772.315
56.653023,8.443996,774.309
56.661607,8.472637,776.303
56.670191,8.501278,778.297
56.678776,8.529918,780.290
56.687360,8.558559,782.282
56.695944,8.587200,784.275
56.704529,8.615840,786.267
56.713113,8.644481,788.259
56.721698,8.673122,790.250
56.730282,8.701762,792.241
56.738866,8.730403,794.232
56.747451,8.759044,796.222
56.756035,8.787684,798.212
56.764619,8.816325,800.201
56.773204,8.844966,802.191
56.781788,8.873606,804.180
56.790373,8.902247,806.168
56.798957,8.930888,808.156
56.807541,8.959528,810.144
56.816126,8.988169,812.132
56.824710,9.016810,814.119
56.833294,9.045451,816.106
56.841879,9.074091,818.092
56.850463,9.102732,820.078
56.859047,9.131373,822.064
56.867632,9.160013,824.049
56.876216,9.188654,826.034
56.884801,9.217295,828.019
56.893385,9.245935,830.003
56.901969,9.274576,831.987
56.910554,9.303217,833.971
56.919138,9.331857,835.954
56.927722,9.360498,837.937
56.936307,9.389139,839.920
56.944891,9.417779,841.902
56.953476,9.446420,843.884
56.962060,9.475061,845.865
56.970644,9.503701,847.847
56.979229,9.532342,849.827
56.987813,9.560983,851.808
56.996397,9.589623,853.788
57.004982,9.618264,855.768
57.013566,9.646905,857.747
57.022151,9.675545,859.726
57.030735,9.704186,861.705
57.039319,9.732827,863.684
57.047904,9.761468,865.662
57.056488,9.790108,867.639
57.065072,9.818749,869.617
57.073657,9.847390,871.594
57.082241,9.876030,873.570
57.090825,9.904671,875.547
57.099410,9.933312,877.522
57.107994,9.961952,879.498
57.116579,9.990593,881.473
57.125163,10.019234,883.448
57.133747,10.047874,885.423
57.142332,10.076515,887.397
57.150916,10.105156,889.371
57.159500,10.133796,891.344
57.168085,10.162437,893.317
57.176669,10.191078,895.290
57.185254,10.219718,897.262
57.193838,10.248359,899.235
57.202422,10.277000,901.206
57.211007,10.305640,903.178
57.219591,10.334281,905.149
57.228175,10.362922,907.119
57.236760,10.391563,909.090
57.245344,10.420203,911.060
57.253928,10.448844,913.029
57.262513,10.477485,914.998
57.271097,10.506125,916.967
57.279682,10.534766,918.936
57.288266,10.563407,920.904
57.296850,10.592047,922.872
57.305435,10.620688,924.840
57.314019,10.649329,926.807
57.322603,10.677969,928.773
57.331188,10.706610,930.740
57.339772,10.735251,932.706
57.348357,10.763891,934.672
57.356941,10.792532,936.637
57.365525,10.821173,938.602
57.374110,10.849813,940.567
57.382694,10.878454,942.531
57.391278,10.907095,944.495
57.399863,10.935735,946.459
57.408447,10.964376,948.422
57.417031,10.993017,950.385
57.425616,11.021658,952.348
57.434200,11.050298,954.310
57.442785,11.078939,956.272
57.451369,11.107580,958.233
57.459953,11.136220,960.195
57.468538,11.164861,962.155
57.477122,11.193502,964.116
57.485706,11.222142,966.076
57.494291,11.250783,968.036
57.502875,11.279424,969.995
57.511460,11.308064,971.954
57.520044,11.336705,973.913
57.528628,11.365346,975.871
57.537213,11.393986,977.829
57.545797,11.422627,979.787
57.554381,11.451268,981.744
57.562966,11.479908,983.701
57.571550,11.508549,985.658
57.580134,11.537190,987.614
57.588719,11.565830,989.570
57.597303,11.594471,991.526
57.605888,11.623112,993.481
57.614472,11.651753,995.436
57.623056,11.680393,997.390
57.631641,11.709034,999.345
57.640225,11.737675,1001.298
57.648809,11.766315,1003.252
57.657394,11.794956,1005.205
57.665978,11.823597,1007.158
57.674563,11.852237,1009.110
57.683147,11.880878,1011.062
57.691731,11.909519,1013.014
57.700316,11.938159,1014.965
57.708900,11.966800,1016.916
